Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels;Commits
Closed;Easy;5433;0;5;41;7;34;102;2017-06-16 04:58:59;2017-06-21 19:54:11;2017-06-21 19:54:10;1609 days 03:37:54;1620 days 11:06:32.034355;9;82;2;82;8;3264;1;2
Closed;Easy;5410;0;1;1;0;1;336;2017-06-15 16:31:22;2017-06-15 19:27:22;;;1620 days 23:34:11.460467;3;0;0;0;2;776;0;1
Closed;Easy;5390;0;2;14;6;8;132;2017-06-14 23:40:30;2017-06-15 00:27:24;;;1621 days 16:25:05.784477;5;0;0;0;4;702;0;2
Closed;Easy;5386;0;3;7;2;5;14;2017-06-14 17:15:03;2017-11-21 00:47:27;;;1621 days 22:50:35.307468;13;0;0;0;11;3303;2;1
Closed;Easy;5385;0;2;3;0;3;397;2017-06-14 16:04:21;2017-06-22 18:19:33;2017-06-22 18:19:33;1595 days 23:15:06;1622 days 00:01:20.198467;14;84;2;84;14;3922;1;2
Closed;Easy;5381;0;2;7;1;6;379;2017-06-14 11:31:54;2017-08-23 05:56:29;;;1622 days 04:33:49.675472;12;0;0;0;10;1626;1;1
Closed;Easy;5380;6;1;25;1;24;11;2017-06-14 09:33:58;2017-07-01 18:28:14;;;1622 days 06:31:48.914478;12;606;6;606;10;6046;0;1
Closed;Easy;5376;0;1;4;4;0;40;2017-06-14 01:09:09;2017-06-15 01:37:51;;;1622 days 14:56:40.491471;4;0;0;0;4;250;0;1
Closed;Easy;5363;0;1;16;5;11;181;2017-06-13 16:57:05;2017-06-15 18:35:47;;;1622 days 23:08:46.855469;6;0;0;0;5;1125;0;1
Closed;Easy;5362;1;6;207;102;105;31;2017-06-13 16:22:31;2017-06-20 19:46:24;2017-06-20 19:46:24;1393 days 08:22:48;1622 days 23:43:23.843485;8;1656;9;1656;6;2496;0;1
Closed;Easy;5347;0;4;21;3;18;108;2017-06-12 20:11:14;2017-06-13 04:18:16;;;1623 days 19:54:43.403469;2;0;0;0;2;152;0;1
Closed;Easy;5345;0;13;432;128;304;520;2017-06-12 19:27:26;2017-09-20 02:40:29;;;1623 days 20:38:36.468989;12;1977;16;1977;10;3870;0;6
Closed;Easy;5331;0;1;6;0;6;13;2017-06-10 15:38:08;2017-06-13 16:09:26;;;1626 days 00:27:58.569867;5;1613;14;1613;4;549;0;1
Closed;Easy;5330;0;2;22;2;20;880;2017-06-10 15:14:27;2017-07-06 15:18:33;2017-07-06 15:18:33;1582 days 02:16:06;1626 days 00:51:42.050864;5;0;0;0;5;1163;0;1
Closed;Easy;5327;0;3;23;3;20;12;2017-06-10 06:19:07;2017-07-07 00:58:07;;;1626 days 09:47:05.311866;9;783;8;783;8;1611;0;2
Closed;Easy;5321;0;1;7;0;7;462;2017-06-09 17:32:31;2017-07-16 19:58:51;;;1626 days 22:33:43.861864;2;424;3;424;2;144;0;1
Closed;Easy;5320;0;1;9;3;6;728;2017-06-09 16:45:55;2017-06-15 09:14:26;;;1626 days 23:20:22.761867;5;466;4;466;5;960;0;1
Closed;Easy;5318;0;2;4;2;2;675;2017-06-09 14:56:39;2017-07-06 15:21:53;2017-07-06 15:21:53;1582 days 02:12:46;1627 days 01:09:41.164865;7;0;0;0;7;1243;0;1
Closed;Easy;5311;0;3;7;0;7;108;2017-06-09 05:20:06;2017-06-09 23:18:18;;;1627 days 10:46:16.517864;7;0;0;0;6;660;0;1
Closed;Easy;5288;11;4;121;0;121;440;2017-06-08 00:51:37;2017-06-09 23:27:34;;;1628 days 15:14:48.354865;15;978;6;978;14;3629;0;1
Closed;Easy;5279;0;2;14;5;9;279;2017-06-07 16:55:07;2017-07-13 00:41:39;;;1628 days 23:11:20.797702;9;0;0;0;9;1522;0;1
Closed;Easy;5276;0;7;96;22;74;41;2017-06-07 08:32:51;2017-06-07 20:43:31;;;1629 days 07:33:39.073024;2;0;0;0;1;28;0;7
Closed;Easy;5271;5;2;66;1;65;12;2017-06-07 02:25:51;2017-06-08 05:13:17;;;1629 days 13:40:42.311658;6;798;11;798;5;308;0;1
Closed;Easy;5258;0;11;509;290;219;806;2017-06-06 17:38:31;2017-06-10 17:37:53;;;1629 days 22:28:05.777999;15;1244;10;1244;15;6968;0;1
Closed;Easy;5257;0;7;192;61;131;13;2017-06-06 17:27:17;2017-06-13 23:55:20;;;1629 days 22:39:22.528541;8;594;4;594;6;820;0;6
Closed;Easy;5255;0;2;18;4;14;199;2017-06-06 15:38:22;2017-06-07 05:44:01;;;1630 days 00:28:20.132610;2;125;2;125;1;465;0;1
Closed;Easy;5250;0;3;17;8;9;12;2017-06-06 03:34:28;2017-08-23 06:12:07;;;1630 days 12:32:16.766132;8;166;2;166;5;547;0;2
Closed;Easy;5249;0;4;42;26;16;6;2017-06-06 03:11:23;2017-06-07 18:14:43;;;1630 days 12:55:24.547973;6;49;1;49;5;757;0;2
Closed;Easy;5246;0;10;71;26;45;291;2017-06-06 01:04:21;2017-06-06 18:26:43;;;1630 days 15:02:29.702910;5;1075;8;1075;5;337;0;3
Closed;Easy;5235;0;1;2;1;1;89;2017-06-05 20:45:42;2017-06-05 20:54:47;;;1630 days 19:21:11.033912;1;0;0;0;1;247;0;1
Closed;Easy;5231;0;2;4;2;2;229;2017-06-05 15:56:23;2017-06-05 17:38:53;;;1631 days 00:10:32.305875;2;0;0;0;2;659;0;1
Closed;Easy;5227;4;3;28;8;20;178;2017-06-05 08:39:22;2017-09-29 01:21:35;;;1631 days 07:27:36.402265;8;1334;6;1334;7;3257;0;1
Closed;Easy;5222;0;3;39;7;32;359;2017-06-04 21:21:22;2017-06-05 23:56:51;;;1631 days 18:45:39.060852;8;0;0;0;7;1784;0;1
Closed;Easy;5212;0;2;23;1;22;126;2017-06-04 07:42:42;2017-06-07 04:20:14;;;1632 days 08:24:21.781328;5;0;0;0;4;305;0;2
Closed;Easy;5207;0;3;5;3;2;150;2017-06-03 20:40:55;2017-06-04 01:43:37;;;1632 days 19:26:11.381754;3;0;0;0;3;377;0;1
Closed;Easy;5187;0;4;99;21;78;301;2017-06-02 20:26:33;2017-07-08 02:23:13;;;1633 days 19:40:36.373995;5;1225;8;1225;4;4207;0;1
Closed;Easy;5169;0;3;39;1;38;163;2017-06-02 04:31:13;2017-06-05 19:49:58;;;1634 days 11:35:58.693751;12;0;0;0;12;2121;0;2
Closed;Easy;5143;0;1;4;2;2;11;2017-05-31 22:41:24;2017-06-01 00:00:58;2017-06-01 00:00:58;1629 days 23:31:06;1635 days 17:25:50.101327;2;0;0;0;1;44;0;1
Closed;Easy;5121;0;3;130;0;130;12;2017-05-31 04:32:50;2017-05-31 05:12:14;;;1636 days 11:34:26.467901;3;0;0;0;2;212;0;1
Closed;Easy;5097;0;1;3;2;1;640;2017-05-28 05:04:22;2017-06-09 02:52:36;;;1639 days 11:02:58.214907;12;0;0;0;11;2772;0;1
Closed;Easy;5093;1;20;170;85;85;80;2017-05-27 17:14:42;2017-05-29 18:25:44;;;1639 days 22:52:40.686113;5;0;0;0;4;723;0;1
Closed;Easy;5092;0;3;79;16;63;69;2017-05-27 12:03:14;2017-06-08 04:49:24;;;1640 days 04:04:11.760997;17;532;4;532;17;3773;0;2
Closed;Easy;5080;0;3;6;4;2;460;2017-05-26 00:36:00;2017-06-02 05:08:21;;;1641 days 15:31:28.156867;17;0;0;0;17;3277;0;1
Closed;Easy;5067;0;1;15;8;7;71;2017-05-25 21:55:00;2017-05-31 05:52:21;;;1641 days 18:12:30.573867;7;0;0;0;6;1132;0;1
Closed;Easy;5064;0;7;26;13;13;225;2017-05-25 20:55:29;2017-05-25 23:06:48;2017-05-25 23:06:48;1560 days 12:52:17;1641 days 19:12:03.921982;10;0;0;0;10;2476;0;1
Closed;Easy;5060;0;1;2;1;1;166;2017-05-25 19:19:31;2017-05-25 20:36:28;2017-05-25 20:36:28;1560 days 15:22:37;1641 days 20:48:04.214555;2;0;0;0;2;144;0;1
Closed;Easy;4944;0;3;11;4;7;26;2017-05-23 21:42:10;2017-11-21 00:52:35;;;1643 days 18:25:27.616185;8;0;0;0;5;562;0;3
Closed;Easy;4931;0;6;131;54;77;11;2017-05-23 18:53:46;2017-06-21 14:38:07;2017-06-21 14:38:06;1609 days 08:53:58;1643 days 21:13:54.555632;6;1385;8;1385;3;2439;0;2
Closed;Easy;4878;0;69;228;161;67;188;2017-05-22 19:26:11;2017-05-23 01:37:34;;;1644 days 20:41:33.319688;1;0;0;0;1;807;0;19
Closed;Easy;4869;0;1;16;3;13;86;2017-05-22 18:00:15;2017-05-22 22:06:59;;;1644 days 22:07:31.867016;2;77;1;77;1;158;0;1
Closed;Easy;4863;5;13;163;88;75;114;2017-05-22 10:30:47;2017-05-25 17:24:46;;;1645 days 05:37:02.717869;8;223;2;223;6;560;0;4
Closed;Easy;4856;0;2;17;1;16;12;2017-05-22 02:30:54;2017-05-23 17:35:26;;;1645 days 13:36:58.412321;2;0;0;0;1;23;0;2
Closed;Easy;4840;15;6;66;13;53;159;2017-05-18 20:37:12;2017-05-30 03:24:50;;;1648 days 19:30:42.966902;1;203;2;203;0;0;0;2
Closed;Easy;4833;0;4;240;39;201;242;2017-05-17 21:45:35;2017-05-29 16:01:10;;;1649 days 18:22:22.733449;18;70;2;70;15;6278;0;3
Closed;Easy;4827;0;2;28;12;16;187;2017-05-17 16:24:48;2017-05-17 19:50:39;;;1649 days 23:43:12.354846;4;0;0;0;3;439;0;1
Closed;Easy;4805;0;1;22;3;19;13;2017-05-16 18:46:45;2017-05-16 20:57:21;;;1650 days 21:21:18.886869;2;35;1;35;1;92;0;2
Closed;Easy;4802;0;1;32;13;19;159;2017-05-16 07:51:09;2017-05-17 00:02:21;;;1651 days 08:16:57.355693;10;0;0;0;9;1608;0;1
Closed;Easy;4800;0;3;87;11;76;284;2017-05-16 07:14:09;2017-05-16 16:09:43;;;1651 days 08:53:59.786650;2;0;0;0;1;39;0;2
Closed;Easy;4798;0;5;159;7;152;13;2017-05-16 02:42:31;2017-05-16 03:08:12;2017-05-16 03:08:27;1632 days 14:52:24;1651 days 13:25:40.202848;3;0;0;0;2;157;0;1
Closed;Easy;4796;0;1;4;0;4;80;2017-05-15 22:14:29;2017-05-16 03:29:46;;;1651 days 17:53:44.407873;3;0;0;0;2;256;0;1
Closed;Easy;4794;0;2;9;1;8;11;2017-05-15 17:29:34;2017-05-15 18:36:38;;;1651 days 22:38:41.788898;2;0;0;0;1;36;0;1
Closed;Easy;4790;0;5;133;0;133;152;2017-05-14 13:07:25;2017-06-11 00:58:06;;;1653 days 03:00:53.596741;9;587;5;587;9;1404;0;4
Closed;Easy;4788;0;11;113;58;55;72;2017-05-14 05:33:37;2017-05-17 07:10:26;;;1653 days 10:34:43.999452;4;0;0;0;2;268;0;2
Closed;Easy;4781;0;1;5;0;5;356;2017-05-13 05:22:57;2017-06-06 18:05:38;;;1654 days 10:45:26.381704;6;0;0;0;5;1016;0;1
Closed;Easy;4770;12;2;35;1;34;22;2017-05-12 03:25:44;2017-05-13 21:55:20;;;1655 days 12:42:41.958784;5;146;1;146;3;546;0;1
Closed;Easy;4747;0;3;20;2;18;678;2017-05-10 18:57:45;2017-05-10 23:28:16;;;1656 days 21:10:43.184967;5;0;0;0;4;664;0;1
Closed;Easy;4745;0;1;23;11;12;546;2017-05-10 18:05:03;2017-05-10 23:56:55;;;1656 days 22:03:27.517098;2;0;0;0;1;74;0;1
Closed;Easy;4726;0;5;129;0;129;148;2017-05-09 10:02:02;2017-05-17 03:16:23;;;1658 days 06:06:31.168917;5;0;0;0;5;902;0;20
Closed;Easy;4719;0;3;42;13;29;13;2017-05-08 20:48:57;2017-05-09 17:00:32;;;1658 days 19:19:39.822819;11;700;7;700;10;2022;0;2
Closed;Easy;4715;0;1;2;1;1;119;2017-05-08 18:06:53;2017-05-08 18:39:43;;;1658 days 22:01:46.373071;3;0;0;0;2;604;0;1
Closed;Easy;4711;0;2;9;7;2;12;2017-05-08 13:35:53;2017-05-09 18:15:39;;;1659 days 02:32:48.759742;3;0;0;0;2;142;0;1
Closed;Easy;4696;120;26;546;372;174;749;2017-05-05 18:47:30;2017-05-05 21:42:35;;;1661 days 21:21:14.255410;3;0;0;0;3;1530;0;17
Closed;Easy;4694;0;1;4;1;3;181;2017-05-05 18:16:42;2017-05-12 01:56:19;;;1661 days 21:52:05.403450;7;1694;10;1694;6;837;0;1
Closed;Easy;4682;0;6;115;17;98;260;2017-05-04 03:10:42;2017-05-12 20:54:45;;;1663 days 12:58:08.963795;8;2023;12;2023;6;2505;0;15
Closed;Easy;4679;0;2;20;2;18;302;2017-05-03 23:50:41;2017-05-04 23:54:43;;;1663 days 16:18:12.361979;5;0;0;0;4;497;0;1
Closed;Easy;4620;0;2;22;1;21;43;2017-04-26 10:39:51;2017-04-26 16:15:19;;;1671 days 05:29:04.695991;2;0;0;0;1;28;0;2
Closed;Easy;4619;3;13;204;5;199;1380;2017-04-26 09:05:17;2017-04-29 00:23:30;;;1671 days 07:03:42.042675;9;1288;10;1288;8;1580;0;1
Closed;Easy;4616;3;1;77;0;77;95;2017-04-26 02:20:03;2017-05-10 18:22:32;;;1671 days 13:48:59.797003;7;3188;7;3188;7;1107;0;1
Closed;Easy;4593;0;1;6;1;5;249;2017-04-23 21:21:59;2017-05-11 18:43:04;;;1673 days 18:47:06.562030;8;1131;2;1131;8;1159;0;1
Closed;Easy;4588;0;7;93;36;57;968;2017-04-22 21:00:13;2017-04-28 19:23:20;;;1674 days 19:08:56.432338;7;0;0;0;6;1520;0;3
Closed;Easy;4575;0;9;74;37;37;12;2017-04-21 21:07:57;2017-04-21 21:58:59;;;1675 days 19:01:14.798333;3;0;0;0;2;248;0;1
Closed;Easy;4568;0;2;17;10;7;210;2017-04-21 06:54:25;2017-04-29 03:55:16;;;1676 days 09:14:49.273035;5;0;0;0;4;917;0;1
Closed;Easy;4559;0;3;24;9;15;244;2017-04-20 21:19:19;2017-04-20 21:49:51;2017-04-20 21:49:51;1649 days 17:05:46;1676 days 18:49:57.597299;5;0;0;0;4;474;0;2
Closed;Easy;4555;0;2;62;5;57;341;2017-04-20 08:28:50;2017-04-26 19:46:59;;;1677 days 07:40:29.660344;13;1760;7;1760;13;2011;0;4
Closed;Easy;4554;0;2;7;0;7;91;2017-04-20 04:31:51;2017-04-25 22:56:29;;;1677 days 11:37:31.554643;8;478;4;478;7;1037;0;1
Closed;Easy;4548;0;1;1;0;1;125;2017-04-19 07:55:07;2017-04-20 05:17:55;;;1678 days 08:14:17.906973;3;0;0;0;1;29;1;1
Closed;Easy;4541;0;1;3;0;3;914;2017-04-18 22:31:00;2017-04-19 17:28:28;;;1678 days 17:38:27.336947;9;0;0;0;9;1892;0;1
Closed;Easy;4519;0;1;4;0;4;157;2017-04-15 23:35:24;2017-04-20 21:56:13;;;1681 days 16:34:05.732109;5;0;0;0;4;853;0;1
Closed;Easy;4515;5;2;28;5;23;89;2017-04-15 10:56:28;2017-04-18 03:49:05;;;1682 days 05:13:04.187237;4;0;0;0;3;1031;1;1
Closed;Easy;4501;0;3;7;1;6;13;2017-04-14 03:10:12;2017-04-14 18:36:17;;;1683 days 12:59:22.623151;6;0;0;0;3;438;2;1
Closed;Easy;4499;0;1;8;8;0;1722;2017-04-14 00:16:13;2017-04-16 14:12:30;;;1683 days 15:53:24.077012;9;0;0;0;8;2181;1;1
Closed;Easy;4486;0;5;16;3;13;174;2017-04-12 19:00:03;2017-05-05 16:54:41;;;1684 days 21:09:36.517270;5;0;0;0;4;326;0;1
Closed;Easy;4470;0;3;11;7;4;137;2017-04-10 21:18:32;2017-04-11 23:32:45;;;1686 days 18:51:09.808763;3;0;0;0;2;150;1;1
Closed;Easy;4469;0;1;6;0;6;278;2017-04-10 20:10:53;2017-04-12 00:08:15;;;1686 days 19:58:51.209148;3;0;0;0;2;233;1;1
Closed;Easy;4468;0;1;13;6;7;254;2017-04-10 19:09:44;2017-04-12 21:15:46;;;1686 days 21:00:02.453770;3;0;0;0;2;163;1;1
Closed;Easy;4459;0;3;28;6;22;11;2017-04-08 06:03:17;2017-04-18 04:52:28;;;1689 days 10:06:31.809922;2;33;1;33;1;250;1;2
Closed;Easy;4452;0;2;19;13;6;143;2017-04-07 14:57:57;2018-02-09 04:35:59;;;1690 days 01:11:54.541914;14;542;2;542;5;1552;2;1
Closed;Easy;4428;0;1;1;0;1;134;2017-04-06 00:31:38;2017-04-06 00:45:44;2017-04-06 00:45:55;1664 days 14:09:42;1691 days 15:38:15.926370;3;0;0;0;2;150;1;1
Closed;Easy;4427;0;2;23;4;19;168;2017-04-06 00:24:27;2017-04-13 04:15:31;;;1691 days 15:45:29.962238;5;0;0;0;4;688;1;1
Closed;Easy;4422;7;2;112;38;74;190;2017-04-05 15:52:13;2017-04-05 19:04:19;;;1692 days 00:17:46.484912;3;0;0;0;2;144;1;1
Closed;Easy;4419;6;2;36;1;35;40;2017-04-05 09:58:15;2017-04-05 19:19:17;;;1692 days 06:11:47.878998;2;114;1;114;1;28;1;1
Closed;Easy;4417;0;1;4;1;3;41;2017-04-05 07:30:32;2017-04-05 18:09:51;;;1692 days 08:39:33.483463;1;0;0;0;1;28;1;1
Closed;Easy;4397;0;1;11;0;11;228;2017-04-03 12:09:36;2017-09-08 18:30:58;;;1694 days 04:00:32.677024;23;866;4;866;19;3467;0;1
Closed;Easy;4396;0;1;21;1;20;42;2017-04-03 10:18:43;2017-06-02 02:45:18;;;1694 days 05:51:28.263070;2;0;0;0;2;148;0;3
Closed;Easy;4393;7;7;120;38;82;11;2017-04-03 08:59:31;2017-07-21 20:37:12;;;1694 days 07:10:43.228433;22;132;4;132;19;5254;1;3
Closed;Easy;4392;0;1;2;1;1;13;2017-04-03 08:16:52;2017-04-04 20:05:37;;;1694 days 07:53:24.606853;2;0;0;0;2;314;1;1
Closed;Easy;4380;0;2;12;5;7;697;2017-04-01 15:49:44;2017-04-05 19:22:09;;;1696 days 00:20:35.063860;10;0;0;0;9;1358;1;1
Closed;Easy;4364;0;1;4;4;0;223;2017-03-30 20:31:10;2017-03-30 21:00:37;2017-03-30 21:00:48;1670 days 17:54:49;1697 days 19:39:11.463629;3;0;0;0;2;150;1;1
Closed;Easy;4363;0;1;53;32;21;311;2017-03-30 20:13:35;2017-04-05 01:30:44;;;1697 days 19:56:48.930314;5;0;0;0;4;469;1;1
Closed;Easy;4361;0;1;5;1;4;238;2017-03-30 09:44:35;2017-04-05 19:31:19;;;1698 days 06:25:51.703096;6;32;1;32;5;796;1;1
Closed;Easy;4344;5;144;6784;12;6772;459;2017-03-28 12:33:56;2017-04-05 18:48:54;;;1700 days 03:36:35.531775;5;0;0;0;4;1008;1;1
Closed;Easy;4342;0;7;82;0;82;13;2017-03-28 03:51:07;2017-08-23 06:09:08;;;1700 days 12:19:27.284943;8;0;0;0;7;1561;0;2
Closed;Easy;4341;0;1;1;0;1;12;2017-03-28 01:10:19;2017-03-28 04:45:43;2017-03-28 04:45:43;1595 days 23:19:25;1700 days 15:00:17.964661;2;0;0;0;1;115;1;1
Closed;Easy;4323;0;2;7;0;7;1101;2017-03-26 19:29:04;2017-04-07 23:19:19;;;1701 days 20:41:35.668019;9;39;2;39;8;2924;1;1
Closed;Easy;4320;0;2;26;3;23;445;2017-03-26 14:17:14;2017-05-16 03:37:32;;;1702 days 01:53:28.402096;27;109;2;109;27;4458;0;3
Closed;Easy;4316;0;1;1;0;1;551;2017-03-26 04:14:54;2017-03-26 07:00:40;;;1702 days 11:55:50.702847;12;0;0;0;12;7588;1;1
Closed;Easy;4306;0;2;2336;1;2335;516;2017-03-25 20:20:36;2017-03-26 03:25:21;;;1702 days 19:50:11.138993;2;0;0;0;2;164;1;2
Closed;Easy;4299;0;10;197;15;182;57;2017-03-25 13:38:11;2017-08-16 04:25:43;;;1703 days 02:32:39.802647;8;1331;10;1331;5;847;0;2
Closed;Easy;4297;0;3;63;6;57;15;2017-03-25 02:26:54;2017-03-26 20:33:18;;;1703 days 13:44:00.486083;11;0;0;0;9;1494;2;1
Closed;Easy;4276;0;1;2;1;1;146;2017-03-23 20:08:40;2017-03-23 22:20:05;;;1704 days 20:02:16.957102;5;0;0;0;4;643;1;1
Closed;Easy;4267;0;2;5;1;4;12;2017-03-23 07:11:48;2017-03-23 18:40:12;;;1705 days 08:59:11.292664;2;0;0;0;1;270;1;1
Closed;Easy;4264;0;7;56;17;39;304;2017-03-23 05:40:44;2017-04-14 21:09:00;;;1705 days 10:30:19.619756;36;865;7;865;35;7545;1;4
Closed;Easy;4255;0;5;322;115;207;1221;2017-03-23 02:07:40;2017-05-24 19:21:25;;;1705 days 14:03:28.078866;21;574;6;574;13;5282;1;3
Closed;Easy;4250;0;4;25;9;16;103;2017-03-22 23:16:55;2017-03-26 03:11:51;;;1705 days 16:54:15.823103;6;239;2;239;6;1022;1;4
Closed;Easy;4243;3;2;139;0;139;88;2017-03-22 20:23:52;2017-04-21 22:45:05;;;1705 days 19:47:21.883709;10;919;6;919;8;1336;0;1
Closed;Easy;4242;0;2;5;3;2;81;2017-03-22 19:52:44;2017-03-22 20:16:49;;;1705 days 20:18:32.344094;3;0;0;0;2;150;1;1
Closed;Easy;4233;0;1;8;1;7;151;2017-03-22 06:05:24;2017-03-22 19:26:01;;;1706 days 10:05:55.583013;9;111;2;111;7;1445;1;2
Closed;Easy;4226;0;3;41;0;41;11;2017-03-22 01:54:55;2017-03-22 03:34:57;;;1706 days 14:16:28.253001;4;1441;15;1441;3;619;1;2
Closed;Easy;4214;0;3;29;3;26;168;2017-03-21 20:37:57;2017-03-22 04:00:11;;;1706 days 19:33:28.675001;7;0;0;0;6;1148;1;1
Closed;Easy;4203;0;2;12;5;7;188;2017-03-21 06:55:23;2017-03-26 01:23:28;;;1707 days 09:16:05.224292;3;83;1;83;2;54;1;1
Closed;Easy;4196;0;3;71;29;42;185;2017-03-21 03:53:38;2017-04-18 05:19:06;;;1707 days 12:17:52.772819;23;0;0;0;22;7209;1;1
Closed;Easy;4192;15;12;484;415;69;659;2017-03-21 00:19:59;2017-03-22 02:56:57;;;1707 days 15:51:34.632342;10;66;1;66;9;1358;1;1
Closed;Easy;4187;0;1;7;0;7;12;2017-03-20 19:41:57;2017-03-21 04:22:37;;;1707 days 20:29:39.553854;7;0;0;0;7;779;1;1
Closed;Easy;4185;1;4;30;3;27;186;2017-03-20 18:07:41;2017-03-22 21:20:39;;;1707 days 22:03:58.353853;5;0;0;0;5;1248;1;1
Closed;Easy;4181;3;15;385;91;294;55;2017-03-20 14:48:59;2017-03-21 03:55:12;;;1708 days 01:22:42.806891;14;0;0;0;11;1520;1;16
Closed;Easy;4177;0;18;137;8;129;767;2017-03-20 03:16:58;2018-03-02 04:47:49;;;1708 days 12:54:46.231854;3;0;0;0;2;264;2;1
Closed;Easy;4170;20;17;338;17;321;426;2017-03-19 19:23:10;2017-03-20 18:50:23;;;1708 days 20:48:36.562852;2;0;0;0;2;612;1;9
Closed;Easy;4156;0;8;187;0;187;458;2017-03-19 07:52:01;2017-06-15 11:09:00;;;1709 days 08:19:51.383853;16;3823;31;3823;15;3836;0;1
Closed;Easy;4153;0;5;85;14;71;38;2017-03-19 02:09:41;2017-03-19 21:46:58;;;1709 days 14:02:14.217851;11;332;3;332;10;921;1;5
Closed;Easy;4133;0;4;8;2;6;117;2017-03-18 18:16:22;2017-03-21 05:28:21;;;1709 days 21:55:35.508852;4;0;0;0;3;1058;1;1
Closed;Easy;4132;0;9;179;48;131;270;2017-03-18 17:34:21;2017-07-28 17:57:49;;;1709 days 22:37:42.267852;31;3733;27;3733;24;3938;0;4
Closed;Easy;4128;0;1;2;1;1;12;2017-03-18 06:32:52;2017-03-18 23:16:20;;;1710 days 09:39:13.941937;5;0;0;0;5;497;1;1
Closed;Easy;4124;4;7;96;39;57;123;2017-03-18 00:59:57;2017-03-22 20:04:44;;;1710 days 15:12:12.462896;5;107;2;107;4;686;1;1
Closed;Easy;4123;0;1;15;6;9;628;2017-03-17 23:37:07;2017-03-18 21:32:07;;;1710 days 16:35:04.867893;10;0;0;0;10;1070;1;1
Closed;Easy;4114;0;2;14;5;9;14;2017-03-17 18:06:51;2017-03-20 06:47:26;;;1710 days 22:05:23.187897;5;0;0;0;4;477;1;1
Closed;Easy;4095;0;1;2;1;1;202;2017-03-16 16:23:19;2017-05-13 17:00:27;;;1711 days 23:48:57.869895;4;255;2;255;3;173;0;1
Closed;Easy;4087;0;1;18;10;8;24;2017-03-15 23:27:23;2017-06-02 02:43:40;;;1712 days 16:44:56.291896;9;0;0;0;9;3057;0;2
Closed;Easy;4085;0;4;284;17;267;12;2017-03-15 20:26:09;2017-03-15 23:27:30;;;1712 days 19:46:12.640896;3;0;0;0;2;144;0;1
Closed;Easy;4082;0;2;4;1;3;12;2017-03-15 16:32:34;2017-03-15 18:49:10;;;1712 days 23:39:50.536896;5;250;2;250;4;305;0;2
Closed;Easy;4078;0;2;14;0;14;70;2017-03-15 14:31:52;2017-03-16 18:31:30;;;1713 days 01:40:35.204896;6;229;1;229;5;638;1;1
Closed;Easy;4062;0;11;418;128;290;210;2017-03-14 14:06:34;2017-03-21 20:42:01;;;1714 days 02:05:55.576894;5;0;0;0;4;851;1;3
Closed;Easy;4058;0;2;25;12;13;11;2017-03-14 08:22:18;2017-03-14 16:38:47;;;1714 days 07:50:13.983897;4;0;0;0;3;169;0;2
Closed;Easy;4057;7;3;89;2;87;12;2017-03-14 07:45:00;2017-03-18 15:22:36;;;1714 days 08:27:35.725893;6;1243;7;1243;5;874;1;10
Closed;Easy;4054;0;1;11;3;8;12;2017-03-14 00:03:31;2017-03-14 07:09:16;;;1714 days 16:09:07.059895;6;0;0;0;5;2350;0;3
Closed;Easy;4053;0;1;10;1;9;287;2017-03-13 22:26:58;2017-03-14 04:16:21;;;1714 days 17:45:42.353897;3;0;0;0;2;150;0;1
Closed;Easy;4050;3;15;131;7;124;78;2017-03-13 18:41:00;2017-03-14 21:36:53;;;1714 days 21:31:43.384898;4;405;4;405;3;287;0;4
Closed;Easy;4047;0;1;4;2;2;829;2017-03-13 16:28:10;2017-03-14 22:39:09;;;1714 days 23:44:36.586893;8;648;2;648;7;1936;0;1
Closed;Easy;4042;0;6;57;0;57;11;2017-03-13 06:50:07;2017-07-25 18:21:48;;;1715 days 09:22:43.607821;8;852;17;852;6;999;0;1
Closed;Easy;4033;0;5;38;2;36;133;2017-03-11 19:49:45;2017-03-13 22:04:40;;;1716 days 20:23:08.380686;2;56;1;56;1;87;0;3
Closed;Easy;4026;0;1;39;13;26;12;2017-03-11 12:00:53;2017-03-22 06:13:48;;;1717 days 04:12:03.220526;14;419;2;419;13;2178;1;1
Closed;Easy;4025;0;1;21;11;10;12;2017-03-11 10:39:56;2017-03-19 19:45:17;;;1717 days 05:33:02.531937;8;0;0;0;7;688;1;1
Closed;Easy;4018;29;4;599;599;0;122;2017-03-10 19:54:40;2017-05-29 22:12:21;;;1717 days 20:18:21.890817;6;0;0;0;4;599;0;1
Closed;Easy;4013;0;1;4;2;2;118;2017-03-10 01:49:33;2017-03-10 04:04:28;;;1718 days 14:23:31.742128;3;0;0;0;2;148;0;1
Closed;Easy;4012;0;4;116;17;99;366;2017-03-09 20:57:17;2017-03-16 22:32:15;;;1718 days 19:15:51.612519;12;0;0;0;11;3666;1;6
Closed;Easy;4010;0;1;3;0;3;64;2017-03-09 20:09:19;2017-03-09 20:13:26;;;1718 days 20:03:51.910371;3;0;0;0;2;148;0;1
